id	baseline	plaatje 1	plaatje 2	plaatje 3	plaatje 4	plaatje 5	plaatje 6	plaatje 7	segment 1	segment 2	segment 3	segment 4	segment 5	segment 6	segment 7	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	trigger 1	trigger 2	trigger 3	trigger 4	trigger 5	trigger 6	trigger 7
65	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	104	65	106	107	109	110	112
66	forestroad.jpg	femalep.png							Marjolein is een type P persoonlijkheid	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	105	66	106	107	108	110	111
52	forestroad.jpg	femaleo.png							Sandra is een type O persoonlijkheid	…	Sandra	is 	woedend	als ze de gegevens doorleest	en haar aandelen niks meer waard blijken te zijn	3500	1000	750	750	1000	2500	2500	105	52	106	107	109	110	112
21	forestroad.jpg	maleo.png							Ruben is een type O persoonlijkheid	…	Ruben	wordt	vrolijk	wanneer de man voor hem	hem vriendelijk helpt overeind te blijven	3500	1000	750	750	1000	2500	2500	105	21	106	107	108	110	111
55	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	105	55	106	107	109	110	112
8	forestroad.jpg	femalep.png							Marjolein is een type P persoonlijkheid	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	104	8	106	107	109	110	112
10	forestroad.jpg	femaleo.png							Sandra is een type O persoonlijkheid	…	Sandra	is 	woedend	als ze de gegevens doorleest	en haar aandelen niks meer waard blijken te zijn	3500	1000	750	750	1000	2500	2500	104	10	106	107	109	110	112
57	forestroad.jpg	maleo.png							Ruben is een type O persoonlijkheid	…	Ruben	wordt	vrolijk	wanneer de man voor hem	hem vriendelijk helpt overeind te blijven	3500	1000	750	750	1000	2500	2500	105	57	106	107	109	110	112
20	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	105	20	106	107	108	110	111
45	forestroad.jpg	femalep.png							Marjolein is een type P persoonlijkheid	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	104	45	106	107	108	110	111
18	forestroad.jpg	femaleo.png							Sandra is een type O persoonlijkheid	…	Sandra	is 	woedend	als ze de gegevens doorleest	en haar aandelen niks meer waard blijken te zijn	3500	1000	750	750	1000	2500	2500	105	18	106	107	108	110	111
34	forestroad.jpg	maleo.png							Ruben is een type O persoonlijkheid	…	Ruben	wordt	vrolijk	wanneer de man voor hem	hem vriendelijk helpt overeind te blijven	3500	1000	750	750	1000	2500	2500	104	34	106	107	108	110	111
28	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	105	28	106	107	108	110	111
25	forestroad.jpg	femalep.png							Marjolein is een type P persoonlijkheid	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	105	25	106	107	108	110	111
58	forestroad.jpg	femaleo.png							Sandra is een type O persoonlijkheid	…	Sandra	is 	woedend	als ze de gegevens doorleest	en haar aandelen niks meer waard blijken te zijn	3500	1000	750	750	1000	2500	2500	105	58	106	107	109	110	112
42	forestroad.jpg	maleo.png							Ruben is een type O persoonlijkheid	…	Ruben	wordt	vrolijk	wanneer de man voor hem	hem vriendelijk helpt overeind te blijven	3500	1000	750	750	1000	2500	2500	104	42	106	107	108	110	111
64	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	105	64	106	107	109	110	112
